tile,nondora wins,tsumos,rons,ron percent,dora wins,tsumos,rons,ron percent
0,29151,9651,19500,66.9,1275,584,691,54.2
1,45298,16508,28790,63.6,1676,884,792,47.3
2,53842,21769,32073,59.6,1876,1152,724,38.6
3,53533,24202,29331,54.8,1810,1084,726,40.1
4,53290,25132,28158,52.8,1769,1107,662,37.4
5,53065,24133,28932,54.5,1747,1066,681,39.0
6,53924,21519,32405,60.1,1876,1052,824,43.9
7,45735,16485,29250,64.0,1599,854,745,46.6
8,29394,9608,19786,67.3,1189,517,672,56.5
9,29085,9627,19458,66.9,1257,534,723,57.5
10,45117,16188,28929,64.1,1636,887,749,45.8
11,53436,21332,32104,60.1,1764,1052,712,40.4
12,53281,23969,29312,55.0,1880,1122,758,40.3
13,53246,24960,28286,53.1,1851,1138,713,38.5
14,53683,24166,29517,55.0,1847,1138,709,38.4
15,54203,21714,32489,59.9,1810,1077,733,40.5
16,46045,16547,29498,64.1,1561,822,739,47.3
17,29566,9788,19778,66.9,1109,499,610,55.0
18,29073,9577,19496,67.1,1273,613,660,51.8
19,44829,15943,28886,64.4,1537,828,709,46.1
20,53435,21037,32398,60.6,1922,1138,784,40.8
21,52952,23831,29121,55.0,1844,1130,714,38.7
22,53142,24850,28292,53.2,1889,1175,714,37.8
23,53441,24001,29440,55.1,1735,1055,680,39.2
24,53454,21156,32298,60.4,1842,1088,754,40.9
25,45326,16130,29196,64.4,1539,820,719,46.7
26,29000,9474,19526,67.3,1110,472,638,57.5
27,11280,3480,7800,69.1,929,383,546,58.8
28,11678,3243,8435,72.2,939,364,575,61.2
29,9383,2597,6786,72.3,824,312,512,62.1
30,9228,2492,6736,73.0,847,310,537,63.4
31,13769,3989,9780,71.0,1069,447,622,58.2
32,13635,3874,9761,71.6,1088,462,626,57.5
33,14067,4116,9951,70.7,1016,439,577,56.8